titolo,sottotitolo,autore_id,editore_id,anno_pubblicazione,isbn10,isbn13,formati,prezzo,prezzo_originale,stock,copertinaUrl,valutazione_media,numero_recensioni,categoria,tags,Descrizione
Il Lupo della Steppa,,34,5,1927,8845911235,978-8845911231,Cartaceo,12.75,15.0,35,https://picsum.photos/seed/41/400/600,4.6,1800,1,59|60,Harry Haller e la sua natura lupesca.
Così parlò Zarathustra,Un libro per tutti e per nessuno,35,5,1883,8845911236,978-8845911232,Cartaceo|E-book,15.3,18.0,25,https://picsum.photos/seed/42/400/600,4.7,2500,11,61|62,La morte di Dio e l'eterno ritorno.
Critica della Ragion Pura,,36,9,1781,8842011234,978-8842011230,Cartaceo,22.1,26.0,10,https://picsum.photos/seed/43/400/600,4.5,600,11,63|64,I limiti dell'intelletto umano.
Il Principe,,37,3,1532,8806112347,978-8806112342,Cartaceo|Audiobook,9.35,11.0,90,https://picsum.photos/seed/44/400/600,4.8,4000,4,3|65,Il manuale del realismo politico.
L'Arte della Guerra,,38,7,-500,8807812346,978-8807812341,Cartaceo|E-book,7.65,9.0,150,https://picsum.photos/seed/45/400/600,4.9,5500,4,66|67,Vincere senza combattere.
Donne che corrono coi lupi,,39,10,1992,8876812345,978-8876812340,Cartaceo|E-book,17.0,20.0,65,https://picsum.photos/seed/46/400/600,4.8,4200,4,59|68,Il mito della Donna Selvatica.
L'interpretazione dei sogni,,40,11,1899,8833912345,978-8833912340,Cartaceo|E-book,16.15,19.0,30,https://picsum.photos/seed/47/400/600,4.7,1900,4,69|70,La scoperta dell'inconscio.
La Coscienza di Zeno,,41,12,1923,8804112346,978-8804112341,Cartaceo|E-book,11.05,13.0,50,https://picsum.photos/seed/48/400/600,4.7,2800,6,29|71,L'inetto e la sua autoanalisi.
Se questo è un uomo,,42,3,1947,8806112348,978-8806112343,Cartaceo|Audiobook,12.75,15.0,140,https://picsum.photos/seed/49/400/600,5.0,15000,12,72|73,La sopravvivenza ad Auschwitz.
La Storia,,43,3,1974,8806112349,978-8806112344,Cartaceo,17.85,21.0,35,https://picsum.photos/seed/50/400/600,4.8,3100,1,1|74,Uno scandalo che dura da diecimila anni.
